    Toss_Result,Winner,Total_turns
Player: 2,Draw,600
Player: 2,Player: 1,100
Player: 1,Draw,500
Player: 2,Player: 1,27
Player: 2,Player: 1,33
Player: 1,Player: 1,36
Player: 2,Player: 1,34
Player: 1,Player: 1,25
Player: 2,Player: 1,32
Player: 1,Player: 1,26
Player: 1,Player: 1,27
Player: 2,Player: 1,15
Player: 2,Player: 1,21
Player: 1,Player: 1,28
Player: 2,Draw,700
Player: 1,Player: 1,42
Player: 2,Player: 1,23
Player: 1,Player: 1,27
Player: 2,Player: 1,31
Player: 1,Player: 1,25
