Toss_Result,Winner,Total_turns
Player: 2,Player: 1,42
Player: 2,Player: 2,29
Player: 2,Player: 1,91
Player: 1,Player: 1,65
Player: 2,Player: 1,44
Player: 2,Player: 2,72
Player: 2,Player: 2,23
Player: 2,Player: 1,264
Player: 2,Player: 1,23
Player: 1,Player: 2,148
Player: 2,Player: 1,38
Player: 1,Player: 2,26
Player: 1,Player: 2,58
Player: 1,Player: 1,53
Player: 2,Player: 1,21
Player: 1,Player: 1,270
Player: 1,Player: 2,127
Player: 1,Player: 2,117
Player: 2,Player: 1,44
Player: 1,Player: 1,51
